stroke_number,interval,async_ms,spm,n_unique_gps,v_bar,v_max,v_min,delta_v,delta_v_over_vbar
67,11. 2026-02-14 07:40,74.2,24.5,3,3.1467,3.2,3.11,0.09,0.0286
68,11. 2026-02-14 07:40,58.8,25.1,3,2.9867,3.2,2.72,0.48,0.1607
69,11. 2026-02-14 07:40,62.3,24.9,3,2.91,3.06,2.72,0.34,0.1168
70,11. 2026-02-14 07:40,89.5,24.5,4,3.1475,3.41,2.95,0.46,0.1461
71,11. 2026-02-14 07:40,67.1,23.1,3,2.9567,3.25,2.63,0.62,0.2097
72,11. 2026-02-14 07:40,168.2,23.6,4,3.035,3.38,2.63,0.75,0.2471
73,11. 2026-02-14 07:40,119.6,23.8,3,3.14,3.45,2.95,0.5,0.1592
74,11. 2026-02-14 07:40,125.2,24.4,4,3.2325,3.48,3.02,0.46,0.1423
75,11. 2026-02-14 07:40,103.4,23.9,2,3.21,3.22,3.2,0.02,0.0062
76,11. 2026-02-14 07:40,52.8,24.0,4,3.17,3.26,2.96,0.3,0.0946
77,11. 2026-02-14 07:40,107.0,24.7,3,3.15,3.29,2.96,0.33,0.1048
78,11. 2026-02-14 07:40,69.2,23.2,4,3.3275,3.49,3.14,0.35,0.1052
79,11. 2026-02-14 07:40,51.8,24.0,3,3.2267,3.48,3.06,0.42,0.1302
80,11. 2026-02-14 07:40,98.0,24.2,4,3.3725,3.56,3.06,0.5,0.1483
81,11. 2026-02-14 07:40,117.2,24.5,3,3.3833,3.84,2.95,0.89,0.2631
82,11. 2026-02-14 07:40,96.3,24.2,4,3.25,3.42,2.95,0.47,0.1446
83,11. 2026-02-14 07:40,76.2,24.4,3,3.37,3.47,3.23,0.24,0.0712
84,11. 2026-02-14 07:40,75.8,24.3,4,3.51,3.63,3.41,0.22,0.0627
85,11. 2026-02-14 07:40,108.7,25.7,3,3.5133,3.8,3.26,0.54,0.1537
86,11. 2026-02-14 07:40,67.2,25.2,3,3.36,3.67,3.15,0.52,0.1548
87,11. 2026-02-14 07:40,78.9,24.7,4,3.34,3.44,3.15,0.29,0.0868
88,11. 2026-02-14 07:40,94.6,26.3,3,3.4167,3.54,3.35,0.19,0.0556
89,11. 2026-02-14 07:40,78.8,24.2,4,3.4525,3.53,3.35,0.18,0.0521
90,11. 2026-02-14 07:40,153.0,25.5,3,3.5867,3.75,3.49,0.26,0.0725
91,11. 2026-02-14 07:40,33.7,25.2,3,3.5267,3.56,3.5,0.06,0.017
92,11. 2026-02-14 07:40,85.5,25.5,4,3.4525,3.58,3.34,0.24,0.0695
93,11. 2026-02-14 07:40,111.4,26.3,3,3.44,3.62,3.34,0.28,0.0814
94,11. 2026-02-14 07:40,84.3,24.7,3,3.3067,3.48,3.08,0.4,0.121
95,11. 2026-02-14 07:40,124.4,26.6,4,3.3125,3.53,3.08,0.45,0.1358
96,11. 2026-02-14 07:40,44.4,23.8,3,3.2367,3.34,3.09,0.25,0.0772
97,11. 2026-02-14 07:40,160.8,25.0,4,3.3325,3.6,3.09,0.51,0.153
98,11. 2026-02-14 07:40,105.4,25.0,3,3.4333,3.81,3.2,0.61,0.1777
99,11. 2026-02-14 07:40,126.6,25.8,3,3.4333,3.55,3.29,0.26,0.0757
100,11. 2026-02-14 07:40,104.8,25.3,4,3.33,3.55,3.14,0.41,0.1231
101,11. 2026-02-14 07:40,78.1,24.0,3,3.2333,3.34,3.14,0.2,0.0619
102,11. 2026-02-14 07:40,138.5,25.5,4,3.435,3.6,3.22,0.38,0.1106
103,11. 2026-02-14 07:40,107.8,23.3,3,3.5133,3.65,3.41,0.24,0.0683
104,11. 2026-02-14 07:40,167.4,25.5,4,3.705,3.93,3.48,0.45,0.1215
