stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
232,11. 2026-02-14 07:40,112.5,25.5,2.86,0.952985890560733,-4.701410943926698,-1.4329785840727294,-2.7998659126955636
233,11. 2026-02-14 07:40,119.9,26.8,2.74,0.913000468579164,-8.699953142083604,-1.605095858395672,-3.136162138416701
234,11. 2026-02-14 07:40,129.4,25.7,2.94,0.979642838548446,-2.0357161451553973,-1.6611712138110981,-3.245726564511412
235,11. 2026-02-14 07:40,86.7,25.8,2.85,0.949653772062269,-5.034622793773103,-1.1173411679543095,-2.183148780992487
236,11. 2026-02-14 07:40,125.5,27.1,3.1,1.0329567345238715,3.295673452387149,-1.6988694774241586,-3.3193843877553793
237,11. 2026-02-14 07:40,94.6,27.2,3.02,1.0062997865361587,0.6299786536158702,-1.28530748731999,-2.5113345454554103
238,11. 2026-02-14 07:40,111.0,26.3,2.99,0.9963034310407664,-0.3696568959233648,-1.4582289779463247,-2.8492021120460684
239,11. 2026-02-14 07:40,88.4,26.7,2.76,0.919664705576092,-8.033529442390797,-1.178991091037972,-2.303605234480901
240,11. 2026-02-14 07:40,74.1,26.7,2.87,0.9563180090591972,-4.368199094080283,-0.9882719439582999,-1.9309632112560493
241,11. 2026-02-14 07:40,7.3,25.3,2.83,0.9429895350653408,-5.701046493465922,-0.09225509880344833,-0.1802552454608257
249,11. 2026-02-14 07:40,104.2,24.8,2.68,0.8930077575883794,-10.699224241162064,-1.2908221134003952,-2.5221094542749865
250,11. 2026-02-14 07:40,204.4,26.0,3.07,1.0229603790284791,2.296037902847914,-2.654613119719778,-5.186791252785814
251,11. 2026-02-14 07:40,96.8,25.9,2.99,0.9963034310407664,-0.3696568959233648,-1.2523396140132184,-2.446919329686205
256,11. 2026-02-14 07:40,98.5,27.5,2.97,0.9896391940438384,-1.0360805956161623,-1.3530564669654053,-2.6437078138611274
257,11. 2026-02-14 07:40,139.9,24.6,3.08,1.0262924975269434,2.6292497526943404,-1.7190947681846318,-3.35890214664167
258,11. 2026-02-14 07:40,96.5,25.9,2.89,0.9629822460561256,-3.701775394387441,-1.2484583962011941,-2.4393359020115577
264,11. 2026-02-14 07:40,183.0,26.1,3.29,1.0962669859946894,9.626698599468941,-2.385825049623208,-4.661612046643249
265,11. 2026-02-14 07:40,88.9,25.5,3.49,1.1629093559639716,16.290935596397162,-1.1323715211028058,-2.212516263454539
266,11. 2026-02-14 07:40,175.9,26.9,3.22,1.072942156505441,7.294215650544089,-2.36355175461186,-4.618092736474326
267,11. 2026-02-14 07:40,74.6,25.9,3.15,1.049617327016192,4.9617327016191926,-0.9651294959234101,-1.8857456817623026
268,11. 2026-02-14 07:40,119.1,26.6,2.94,0.979642838548446,-2.0357161451553973,-1.5824878895189372,-3.0919889162089085
269,11. 2026-02-14 07:40,181.2,26.7,3.54,1.179569948456292,17.956994845629204,-2.416664996561996,-4.721869553030986
272,11. 2026-02-14 07:40,167.4,26.7,3.16,1.0232490449336,2.3249044933600027,-2.2326143511284666,-4.362256971177633
273,11. 2026-02-14 07:40,140.7,27.4,2.98,0.9649627069310532,-3.503729306894676,-1.9257134214363412,-3.762609871653396
274,11. 2026-02-14 07:40,64.8,25.8,2.93,0.9487720574859012,-5.1227942514098785,-0.8351062016544321,-1.631695974721029
275,11. 2026-02-14 07:40,108.5,25.9,3.21,1.0394396943787518,3.9439694378751833,-1.4037071086821715,-2.7426730089974507
