interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,91,2026-02-14 04:12:03.184228420+00:00,25.2,33.7,3.52,88323414_1,3.118813559322034,1.1286343133525352,2026-02-14 04:12:03.156548500+00:00,2026-02-14 04:12:03.184228420+00:00,2026-02-14 04:12:03.184019566+00:00,2026-02-14 04:12:03.150577307+00:00
11. 2026-02-14 07:40,92,2026-02-14 04:12:05.568559408+00:00,25.5,85.5,3.5,88323414_1,3.118813559322034,1.1222216183903049,2026-02-14 04:12:05.511157989+00:00,2026-02-14 04:12:05.568559408+00:00,2026-02-14 04:12:05.483066082+00:00,2026-02-14 04:12:05.491800308+00:00
11. 2026-02-14 07:40,93,2026-02-14 04:12:07.925177336+00:00,26.3,111.4,3.34,88323414_1,3.118813559322034,1.0709200586924623,2026-02-14 04:12:07.895972967+00:00,2026-02-14 04:12:07.925177336+00:00,2026-02-14 04:12:07.872192383+00:00,2026-02-14 04:12:07.813757658+00:00
11. 2026-02-14 07:40,94,2026-02-14 04:12:10.210399628+00:00,24.7,84.3,3.36,88323414_1,3.118813559322034,1.0773327536546926,2026-02-14 04:12:10.244483471+00:00,2026-02-14 04:12:10.210399628+00:00,2026-02-14 04:12:10.160198689+00:00,2026-02-14 04:12:10.171152830+00:00
11. 2026-02-14 07:40,95,2026-02-14 04:12:12.639407635+00:00,26.6,124.4,3.08,88323414_1,3.118813559322034,0.9875550241834683,2026-02-14 04:12:12.572725296+00:00,2026-02-14 04:12:12.639407635+00:00,2026-02-14 04:12:12.524093865+00:00,2026-02-14 04:12:12.515009165+00:00
11. 2026-02-14 07:40,96,2026-02-14 04:12:14.893042088+00:00,23.8,44.4,3.28,88323414_1,3.118813559322034,1.0516819738057714,2026-02-14 04:12:14.859454632+00:00,2026-02-14 04:12:14.893042088+00:00,2026-02-14 04:12:14.903828382+00:00,2026-02-14 04:12:14.861694813+00:00
11. 2026-02-14 07:40,97,2026-02-14 04:12:17.409509897+00:00,25.0,160.8,3.09,88323414_1,3.118813559322034,0.9907613716645834,2026-02-14 04:12:17.410515547+00:00,2026-02-14 04:12:17.409509897+00:00,2026-02-14 04:12:17.322636127+00:00,2026-02-14 04:12:17.249736071+00:00
11. 2026-02-14 07:40,98,2026-02-14 04:12:19.813358307+00:00,25.0,105.4,3.2,88323414_1,3.118813559322034,1.0260311939568503,2026-02-14 04:12:19.737854242+00:00,2026-02-14 04:12:19.813358307+00:00,2026-02-14 04:12:19.707980871+00:00,2026-02-14 04:12:19.734701633+00:00
11. 2026-02-14 07:40,99,2026-02-14 04:12:22.210855246+00:00,25.8,126.6,3.29,88323414_1,3.118813559322034,1.0548883212868867,2026-02-14 04:12:22.114377260+00:00,2026-02-14 04:12:22.210855246+00:00,2026-02-14 04:12:22.084261656+00:00,2026-02-14 04:12:22.086187840+00:00
11. 2026-02-14 07:40,100,2026-02-14 04:12:24.537260771+00:00,25.3,104.8,3.55,88323414_1,3.118813559322034,1.1382533557958807,2026-02-14 04:12:24.532305002+00:00,2026-02-14 04:12:24.537260771+00:00,2026-02-14 04:12:24.444772720+00:00,2026-02-14 04:12:24.432469368+00:00
11. 2026-02-14 07:40,101,2026-02-14 04:12:26.911361456+00:00,24.0,78.1,3.14,88323414_1,3.118813559322034,1.0067931090701592,2026-02-14 04:12:26.905456305+00:00,2026-02-14 04:12:26.911361456+00:00,2026-02-14 04:12:26.843337774+00:00,2026-02-14 04:12:26.833237410+00:00
11. 2026-02-14 07:40,102,2026-02-14 04:12:29.408523560+00:00,25.5,138.5,3.22,88323414_1,3.118813559322034,1.0324438889190806,2026-02-14 04:12:29.314234018+00:00,2026-02-14 04:12:29.408523560+00:00,2026-02-14 04:12:29.284202576+00:00,2026-02-14 04:12:29.269988537+00:00
11. 2026-02-14 07:40,103,2026-02-14 04:12:31.757850409+00:00,23.3,107.8,3.41,88323414_1,3.118813559322034,1.0933644910602685,2026-02-14 04:12:31.754997492+00:00,2026-02-14 04:12:31.757850409+00:00,2026-02-14 04:12:31.650071144+00:00,2026-02-14 04:12:31.654389381+00:00
11. 2026-02-14 07:40,104,2026-02-14 04:12:34.338259697+00:00,25.5,167.4,3.48,88323414_1,3.118813559322034,1.1158089234280746,2026-02-14 04:12:34.232613802+00:00,2026-02-14 04:12:34.338259697+00:00,2026-02-14 04:12:34.170893192+00:00,2026-02-14 04:12:34.175873518+00:00
11. 2026-02-14 07:40,105,2026-02-14 04:12:36.693545341+00:00,23.5,77.3,3.86,88323414_1,3.118813559322034,1.2376501277104506,2026-02-14 04:12:36.692474842+00:00,2026-02-14 04:12:36.693545341+00:00,2026-02-14 04:12:36.616268635+00:00,2026-02-14 04:12:36.666489840+00:00
11. 2026-02-14 07:40,125,2026-02-14 04:13:33.685619831+00:00,24.8,174.5,2.99,88323414_2,3.136756756756757,0.9532138549026365,2026-02-14 04:13:33.655445099+00:00,2026-02-14 04:13:33.685619831+00:00,2026-02-14 04:13:33.511137246+00:00,2026-02-14 04:13:33.552057505+00:00
11. 2026-02-14 07:40,126,2026-02-14 04:13:36.107637882+00:00,24.4,132.1,3.41,88323414_2,3.136756756756757,1.087110115457522,2026-02-14 04:13:36.139496803+00:00,2026-02-14 04:13:36.107637882+00:00,2026-02-14 04:13:36.007390499+00:00,2026-02-14 04:13:36.027279615+00:00
11. 2026-02-14 07:40,127,2026-02-14 04:13:38.567156792+00:00,26.6,206.1,3.74,88323414_2,3.136756756756757,1.1923143201792177,2026-02-14 04:13:38.539275408+00:00,2026-02-14 04:13:38.567156792+00:00,2026-02-14 04:13:38.361041784+00:00,2026-02-14 04:13:38.531146526+00:00
11. 2026-02-14 07:40,130,2026-02-14 04:13:43.146466732+00:00,24.0,212.2,2.97,88323414_2,3.136756756756757,0.946837842495261,2026-02-14 04:13:43.213014841+00:00,2026-02-14 04:13:43.146466732+00:00,2026-02-14 04:13:43.199613571+00:00,2026-02-14 04:13:43.358680010+00:00
